"","eventID","eventID.temp","eventIDnew","response.eventID","event.start.ts","event.end.ts","event.dur","event.Q.tot.m3","event.baseflow.tot.m3","event.quickflow.tot.m3","rain.start.ts","rain.eventn","rain.mean","rain.peak.mm.h","rain.peak.ts","rain.tot.mm","rain.dur","init.rain.mean","init.rain.peak.mm.h","init.rain.peak.ts","init.rain.centroid.ts","init.rain.tot.mm","init.rain.dur","Q.response.start.ts","Q.response.end.ts","Q.response.dur","Q.response.tot.m3","Q.response.base.m3","Q.response.quick.m3","Q.nopeaks","Q.peak.m3.s","Q.peak.ts","Q.peak.rank","Q.QXX","lag.start.dur","lag.peak.dur","lag.peakinit.dur","rlimb.dur","flimb.dur","rlimb.rain","interevent.dur","interevent.rainfall.tot.mm","interevent.Q.median","anti.rain.mm3h","anti.rain.mm6h","anti.rain.mm12h","anti.rain.mm24h","anti.rain.mm5d","anti.rain.mm30d","Q.dur","quickflow.start.ts","quickflow.end.ts","quickflow.dur","check.outlier1","check.outlier2","check.outlier3","check.manual"
"1",1,1,1,NA,2004-10-09 18:00:00,2004-10-11 10:00:00,144000s (~1.67 days),937005.003407295,549969.83543241,387035.167974885,2004-10-09 18:00:00,3,0.273166585365854,2.2,2004-10-09 22:00:00,2.7999575,24300s (~6.75 hours),0.644361875,2.2,2004-10-09 22:00:00,2004-10-09 21:00:00,2.5774475,54000s (~15 hours),2004-10-09 22:00:00,2004-10-11 10:00:00,129600s (~1.5 days),883815.003213877,496779.835238992,387035.167974885,1,44.486111272879,2004-10-10 16:00:00,0.882,"Q15",14400,64800,64800,64800s (~18 hours),64800s (~18 hours),2.7082575,399600s (~4.62 days),1.7692275,15.5791667233182,0.003375,0.003375,0.0044475,1.0712625,1.7726025,1.7726025,144000,1097344800,1097488800,144000,NA,FALSE,FALSE,FALSE
"2",2,2,2,NA,2004-10-13 04:00:00,2004-10-16 01:00:00,248400s (~2.88 days),2735192.50994617,1082084.15505011,1653108.35489605,2004-10-13 04:00:00,2,0.301751857142857,3.1,2004-10-13 06:00:00,5.2806575,54000s (~15 hours),0.588731666666667,3.1,2004-10-13 06:00:00,2004-10-13 05:00:00,0.8830975,18000s (~5 hours),2004-10-13 06:00:00,2004-10-16 01:00:00,241200s (~2.79 days),2708887.50985051,1055779.15495446,1653108.35489605,1,83.3527780808791,2004-10-14 21:00:00,0.965,"Q5",7200,140400,140400,140400s (~1.62 days),100800s (~1.17 days),4.67249,144000s (~1.67 days),0.0057275,14.8416667206364,0.00905,0.00905,0.0149,2.812135,4.5813625,4.5813625,248400,1097640000,1097888400,248400,NA,FALSE,FALSE,FALSE
"3",3,3,3,NA,2004-10-13 15:00:00,2004-10-18 16:00:00,435600s (~5.04 days),4451785.01618833,2112795.18215214,2338989.83403619,2004-10-13 15:00:00,1,0.224430819672131,2.809,2004-10-14 11:00:00,6.84514,95400s (~1.1 days),0.224430819672131,2.809,2004-10-14 11:00:00,2004-10-14 19:00:00,6.84514,435600s (~5.04 days),2004-10-16 13:00:00,2004-10-18 16:00:00,183600s (~2.12 days),1705132.50620049,981236.254372279,723896.25182821,1,56.3722224272124,2004-10-17 05:00:00,0.92,"Q10",252000,237600,237600,57600s (~16 hours),126000s (~1.46 days),6.0396725,-216000s (~-2.5 days),4.546025,41.4111112616971,0.9130825,0.9156825,0.91602,3.7187675,5.487995,5.487995,435600,1097679600,1098115200,435600,NA,TRUE,FALSE,FALSE
"4",4,4,4,NA,2004-10-19 19:00:00,2004-10-22 00:00:00,190800s (~2.21 days),2044307.50743385,990430.438319963,1053877.06911389,2004-10-19 19:00:00,2,0.364810925925926,1.95803,2004-10-21 17:00:00,4.9249475,41400s (~11.5 hours),0.741344666666667,1.66,2004-10-20 01:00:00,2004-10-20 01:00:00,2.7800425,50400s (~14 hours),2004-10-20 00:00:00,2004-10-22 00:00:00,172800s (~2 days),1962835.00713759,909589.631347597,1053245.37578999,1,68.7361113610609,2004-10-20 20:00:00,0.946,"Q10",18000,-75600,68400,72000s (~20 hours),100800s (~1.17 days),3.414235,90000s (~1.04 days),0.026635,20.2333334069092,0.005295,0.02625,0.333275,2.53364,12.33025,12.33025,190800,1098212400,1098403200,190800,NA,FALSE,FALSE,FALSE
"5",5,5,5,NA,2004-10-20 15:00:00,2004-10-24 17:00:00,352800s (~4.08 days),5968725.02170448,2563987.36515879,3404737.65654569,2004-10-20 15:00:00,2,0.377779191919192,3.41497,2004-10-23 12:00:00,9.350035,72900s (~20.25 hours),0.426618292682927,3.41497,2004-10-23 12:00:00,2004-10-23 08:00:00,8.745675,291600s (~3.38 days),2004-10-22 10:00:00,2004-10-24 17:00:00,198000s (~2.29 days),4237467.51540899,1681521.94415462,2555945.57125437,2,169.841667284273,2004-10-24 06:00:00,0.997,"Q5",154800,64800,64800,158400s (~1.83 days),39600s (~11 hours),8.745675,-126000s (~-1.46 days),2.144905,43.1416668235456,1.0457875,2.7873525,2.8139875,4.1866425,15.11717,15.11717,352800,1098284400,1098637200,352800,NA,FALSE,FALSE,FALSE
"6",6,6,6,NA,2004-10-24 11:00:00,2004-10-26 10:00:00,169200s (~1.96 days),2030005.00738185,1227895.8375931,802109.169788741,2004-10-24 11:00:00,1,0.191974583333333,1.22625,2004-10-24 12:00:00,2.303695,37800s (~10.5 hours),0.19605914893617,1.22625,2004-10-24 12:00:00,2004-10-24 22:00:00,2.303695,165600s (~1.92 days),2004-10-25 00:00:00,2004-10-26 10:00:00,122400s (~1.42 days),1445585.00525668,854802.868284745,590782.136971934,1,59.4111113271518,2004-10-25 12:00:00,0.928,"Q10",46800,86400,86400,43200s (~12 hours),79200s (~22 hours),1.822085,-28800s (~-8 hours),0.630495,58.7472224358487,0.05802,3.5051525,5.327715,8.80345,23.91331,23.91331,169200,1098615600,1098784800,169200,NA,FALSE,FALSE,FALSE
"7",7,7,7,NA,2004-10-27 09:00:00,2004-10-31 05:00:00,331200s (~3.83 days),4561395.01658691,2171133.48750339,2390261.52908353,2004-10-27 09:00:00,1,0.258290860215054,2.19086,2004-10-29 09:00:00,6.0052625,52200s (~14.5 hours),0.381269841269841,2.19086,2004-10-29 09:00:00,2004-10-28 18:00:00,6.005,223200s (~2.58 days),2004-10-27 17:00:00,2004-10-31 05:00:00,302400s (~3.5 days),4376052.51591294,1994853.80055842,2381198.71535451,2,117.75277820597,2004-10-29 12:00:00,0.988,"Q5",28800,10800,10800,154800s (~1.79 days),147600s (~1.71 days),5.9483825,75600s (~21 hours),0.0063675,26.2375000954092,0.038435,0.03908,0.5883575,6.8199525,24.475145,26.19815,331200,1098867600,1099198800,331200,NA,FALSE,FALSE,FALSE
"8",8,8,8,NA,2004-11-03 05:00:00,2004-11-05 12:00:00,198000s (~2.29 days),1454450.00528892,1134964.09074946,319485.914539451,2004-11-03 05:00:00,2,0.0314176785714286,0.403,2004-11-04 03:00:00,0.4398475,23400s (~6.5 hours),0.0727245833333333,0.403,2004-11-04 03:00:00,2004-11-03 23:00:00,0.4363475,82800s (~23 hours),2004-11-04 00:00:00,2004-11-05 12:00:00,129600s (~1.5 days),1056625.00384228,740870.777024844,315754.226817433,0,46.1472223900305,2004-11-04 17:00:00,0.888,"Q15",68400,50400,50400,61200s (~17 hours),68400s (~19 hours),0.4369975,252000s (~2.92 days),0.250495,24.5305556447577,0.106895,0.3086575,0.309995,0.309995,26.532765,32.480855,198000,1099458000,1099656000,198000,NA,FALSE,TRUE,FALSE
"9",9,9,9,NA,2004-11-09 08:00:00,2004-11-11 11:00:00,183600s (~2.12 days),1327205.00482621,950813.005396878,376391.999429328,2004-11-09 08:00:00,2,0.0401192307692308,0.494,2004-11-10 01:00:00,0.52155,24300s (~6.75 hours),0.0399028571428571,0.17,2004-11-09 13:00:00,2004-11-09 13:00:00,0.06983,21600s (~6 hours),2004-11-09 09:00:00,2004-11-11 11:00:00,180000s (~2.08 days),1308587.50475851,932195.505329178,376391.999429328,0,45.8027779443335,2004-11-10 03:00:00,0.887,"Q15",3600,7200,50400,64800s (~18 hours),115200s (~1.33 days),0.3318225,324000s (~3.75 days),0.0137325,21.7055556344849,0.00387,0.0076725,0.008395,0.01442,17.765555,32.8749725,183600,1099987200,1100170800,183600,NA,FALSE,TRUE,FALSE
"10",10,10,10,NA,2004-11-18 01:00:00,2004-11-19 23:00:00,165600s (~1.92 days),1642895.00597417,798576.411315584,844318.594658586,2004-11-18 01:00:00,2,0.130594042553191,2.36,2004-11-18 15:00:00,1.53448,30600s (~8.5 hours),0.174478857142857,2.36,2004-11-18 15:00:00,2004-11-18 15:00:00,1.52669,122400s (~1.42 days),2004-11-18 12:00:00,2004-11-19 23:00:00,126000s (~1.46 days),1460212.50530987,618926.970223936,841285.535085934,1,75.3194447183337,2004-11-19 05:00:00,0.955,"Q5",39600,50400,50400,61200s (~17 hours),64800s (~18 hours),1.4535725,561600s (~6.5 days),0.132025,19.5694445156061,0.0002575,0.0002575,0.0489075,0.113625,2.80918,33.5287675,165600,1100739600,1100905200,165600,NA,FALSE,FALSE,FALSE
